,EM Antônia Lucia Navarro Braga,EM Antônio Nominando Diniz,EMAI Analice Caldas,EMAI Arnaldo de Barros Moreira,EMAI Chico Xavier,EMAI Dom José Maria Pires,EMAI Dr. Severino Patrício,EMAI Duque de Caxias,EMAI Frei Afonso,EMAI Gov. Leonel Brizola,EMAI João XVIII,EMAI Prof. Anísio Teixeira,EMAI Prof. Oscar de Castro,EMAI Ubirajara Targino Botto,EMEF Antenor Navarro,EMEF Aruanda,EMEF Cantalice Leite Magalhães,EMEF Com. Cícero Leite,EMEF Darcy Ribeiro,EMEF Duarte da Silveira,EMEF Fenelon Câmara,EMEF Francisca Moura,EMEF Frutuoso Barbosa,EMEF General Rodrigo Otávio,EMEF Luiz Vaz de Camões,EMEF Major José de Barros Moreira,EMEF Nazinha Barbosa,EMEF Pe. Pedro Serrão,EMEF Pres. João Pessoa,EMEF Prof. Afonso Pereira da Silva,EMEF Prof. Aníbal Moura,EMEF Prof. Francisco Pereira da Nóbrega,EMEF Prof. Lynaldo Cavalcanti de Albuquerque,EMEF Santa Ângela,EMEF Santos Dumont,EMEF Tharcilla Barbosa da Franca,EMEF Violeta Formiga,EMEF Virginius da Gama e Melo,EMEF Zulmira de Novais,EMEF Zumbi dos Palmares,EMEF em Tempo Integral Dep. Fernando Paulo Carrilho Milanez,EMEF em Tempo Integral Min. José Américo de Almeida,EMEF Índio Piragibe,EMEIEF Anita Trigueiro do Valle,EMEIEF Antônio Santos Coelho Neto,EMEIEF Apolônio Sales de Miranda,EMEIEF Castro Alves,EMEIEF David Trindade,EMEIEF Dom Helder Câmara,EMEIEF João Monteiro da França,EMEIEF Leônidas Santiago,EMEIEF Moema Tinoco Cunha Lima,EMEIEF Olívio Ribeiro Campos,EMEIEF Prof. Durmeval Trigueiro Mendes,EMEIEF Prof. Luiz Mendes Pontes,EMEIEF Profa. Anayde Beiriz,EMEIEF Prof. Hugo Moura,EMEIEF Quilombola Profa. Antônia do Socorro Silva Machado,EMEIEF Séráfico da Nóbrega,EMEIEF em Tempo Integral Almirante Barroso,EMEIEF em Tempo Integral Damásio Barbosa da França,Instituto Dom Adauto
EMAI João XVIII,9719,8066,5947,1312,20817,99,2305,5190,6263,15104,0,5562,3646,3493,9837,11840,5910,12204,7144,5654,8313,9459,3775,16387,13623,9869,18998,4311,3802,15277,3309,4960,6382,4611,4488,8394,10197,11844,1962,12450,11124,9833,12946,17717,17089,2723,2326,12877,13114,4668,5688,8309,12390,5161,4149,6545,8283,15213,17690,2242,4965,5416
EMAI Prof. Anísio Teixeira,4431,9073,7023,3023,16324,5274,6752,2329,10710,10611,5274,0,4722,4749,4549,7347,6916,7711,1856,1864,3354,16627,8223,11894,9130,14122,14505,4761,4917,10784,5171,4091,5945,4621,8935,3106,17587,7351,3038,7957,6167,5340,8453,13224,12595,3799,2288,8384,8621,5581,5831,3021,7897,5356,5406,7551,14465,10720,13197,3053,9412,7493
EMAI Prof. Oscar de Castro,11845,10086,2478,2369,14468,3309,5527,5767,4681,8755,3309,5525,0,2792,11963,7606,7929,12167,7107,6231,8276,5845,3802,6380,11279,6254,9497,3621,5930,13056,449,4716,6958,3659,2144,8357,6583,9448,2695,9865,13581,9796,10725,11368,14867,1819,2902,10805,13077,6594,2220,8272,8863,3138,2079,8564,5147,15176,11342,2975,2179,2948
EMAI Ubirajara Targino Botto,6476,11296,4080,3176,16617,4115,6334,6977,7835,10904,4115,4052,2389,0,6827,7639,9140,8001,3980,5221,3802,8513,7804,12187,9419,8923,14798,1065,7140,11073,2838,1484,8169,1357,4532,5484,9251,7640,1493,8247,6701,5630,8742,13517,12885,1760,2329,8673,8910,7805,2094,4765,8190,1944,964,9775,7815,11010,13490,1057,4567,5616
EMEF Antenor Navarro,1819,10027,11844,7844,18716,10096,11574,4897,15532,13003,10096,4551,9544,9391,0,9738,7871,3994,3254,3696,4470,15211,13044,14286,9063,16514,16897,6938,7011,11274,9993,6268,6899,6799,13757,1874,15949,9448,7860,10054,2367,7437,10550,15616,15440,8621,7110,9857,6146,7241,8008,2535,10289,7533,10047,8505,14513,7337,15589,7875,14233,12314
EMEF Aruanda,10413,15531,5997,10954,11602,11732,13210,11211,8656,5889,11732,7989,9110,7958,10242,0,13374,9764,7918,9159,6242,9263,9115,7172,4509,7869,9784,7008,11374,6286,8789,7074,12403,6686,8314,9422,10001,2678,9861,3096,9417,5182,3955,4352,8098,10622,9111,4036,7088,12039,7936,8702,1223,7283,7533,14009,8565,9771,6304,9158,7492,7028
EMEF Cantalice Leite Magalhães,9301,2863,10170,6170,21154,8422,9899,3223,13858,15441,8422,5899,7869,7717,9420,12177,0,12664,6617,3687,8650,13537,11370,16724,13960,18953,19336,8535,2038,15614,8319,8921,1183,9452,12083,6254,14275,12181,6186,12788,11038,10171,13283,18054,17426,6946,5436,13214,13451,1172,9912,6130,12728,10186,8372,1342,12839,16008,18028,6200,12559,10640
EMEF Com. Cícero Leite,5202,13409,13368,11648,18705,12427,13904,8279,16026,12992,12427,7682,12926,8403,4358,9728,11253,0,6137,7078,4777,19008,15375,14275,5092,16503,16887,8415,10393,7303,13375,7745,10282,8276,16088,5286,19968,7150,11242,6722,2090,7159,6704,15605,11469,12003,10492,5885,2175,10623,9485,5629,10733,9010,9060,11887,16847,3366,15579,9853,16564,14398
EMEF Darcy Ribeiro,2392,8176,7043,4329,15845,6580,8058,2535,12017,10132,6580,1652,6028,4055,3251,6867,6020,5998,0,2071,1695,16147,9529,11414,8628,13643,14026,4067,6223,10282,6477,3396,5048,3927,10241,1396,17108,6849,4344,7456,4372,4839,7951,12745,12094,5105,3594,7882,6747,5390,5137,1188,7418,4662,4712,6654,13986,8846,12718,4359,10718,8799
EMEF Duarte da Silveira,3528,6105,7076,3076,18061,5328,6806,464,10764,12348,5328,1660,4776,4623,3647,9083,3949,6891,2070,0,3548,10443,8276,13630,10866,15859,16242,5441,3089,12521,5225,5827,2978,6358,8989,2567,11181,9087,3092,9694,5265,7077,10190,14961,14332,3853,2342,10120,9044,3319,6818,2443,9634,7092,5279,4583,9745,10235,14934,3107,9465,7546
EMEF Fenelon Câmara,4126,11685,6852,7108,15226,7887,9365,3988,13323,9513,7887,3104,6097,3863,4682,6249,9529,4468,1670,3523,0,15529,10835,10796,7158,13024,13407,3876,7529,8812,6546,3205,8558,3736,11548,3134,16489,5379,6016,5986,3858,3368,6481,12126,10624,6776,5266,4178,5377,8194,4945,2415,6799,4470,4520,10164,13367,7477,12099,5313,12024,8020
EMEF Francisca Moura,16789,21916,5432,17339,6278,9585,10532,17597,3712,3991,9585,14365,7392,14333,17140,9866,19760,16837,14293,15534,14115,0,6565,2478,13538,457,3700,13427,17760,15316,6989,13450,18789,13105,6118,15797,1060,11707,16247,12125,17014,12669,12985,8542,17127,17007,15497,13065,16117,18425,7000,15078,11123,12961,13519,20394,1736,18800,4935,15544,5663,4688
EMEF Frutuoso Barbosa,12293,10640,3676,5157,15168,3931,4879,8832,3540,7074,3931,8136,4511,7338,12411,8306,8484,14778,9717,9297,10886,6735,0,6704,11978,7145,10388,5996,6375,13756,4108,7092,10024,6034,1479,10967,7473,10147,5807,10565,13697,12407,11425,12068,15567,5478,6171,11505,15687,7242,4595,10883,9563,5513,5808,9118,5559,17787,9590,6087,1927,2407
EMEF General Rodrigo Otávio,14493,19620,4203,15043,8201,15821,17299,15301,4540,1873,15821,12069,7184,12037,14844,7569,17464,14541,11997,13238,11819,3262,6670,0,11242,2211,4957,11130,15464,13019,6781,11153,16492,10808,5869,13501,4000,9411,13950,9829,14718,10373,10688,6783,12921,14711,13200,10769,13821,16128,6389,12782,8827,10665,11223,18098,2564,20087,4398,13248,5046,4582
